01001;779;46.156781992032;4.9246992031872;L'Abergement-Clémenciat
01002;256;46.010085625;5.4287591666667;L'Abergement-de-Varey
01004;14134;45.958409392265;5.3759920441989;Ambérieu-en-Bugey
01005;1751;46.000120392157;4.9106016993464;Ambérieux-en-Dombes
01006;112;45.746426904762;5.6024917857143;Ambléon
01007;2800;46.001447160494;5.3665422839506;Ambronay
01008;762;45.935983243243;5.3318304054054;Ambutrix
01009;326;45.786471006711;5.6574418120805;Andert-et-Condon
01010;1105;45.919375342466;5.7890420547945;Anglefort
01011;368;46.20755872093;5.6599165116279;Apremont
01012;329;46.004818529412;5.5040175490196;Aranc
01013;143;45.891865;5.493098030303;Arandas
01014;3349;46.28619369863;5.6875171232877;Arbent
01015;650;45.717191583012;5.6445241698842;"Arboys en Bugey"
01016;460;46.475566101695;4.9695481355932;Arbigny
01017;457;45.935171958763;5.4816940206186;Argis
01019;27;45.856628636364;5.5744975;Armix
01021;1457;45.99437625;4.8191379166667;Ars-sur-Formans
01022;1249;45.869468571429;5.692361978022;Artemare
01023;76;46.386086545455;4.8860641818182;Asnières-sur-Saône
01024;3251;46.285858903509;5.1816493421053;Attignat
01025;4065;46.3223375;4.957910975;Bâgé-Dommartin
01026;973;46.307906444444;4.9295675555556;Bâgé-le-Châtel
01027;2563;45.82999739726;5.1021565753425;Balan
01028;617;46.119529107143;4.9065755357143;Baneins
01029;685;46.42501007874;5.2629440419947;Beaupont
01030;829;46.000953478261;4.7569539130435;Beauregard
01031;3652;46.241422380952;5.639985;Bellignat
01032;3376;45.86536266055;5.1327606422018;Béligneux
01033;16378;46.104923591837;5.8248288163265;Bellegarde-sur-Valserine
01034;9182;45.747806201923;5.6815619230769;Belley
01035;310;46.255558275862;5.7790405747126;Belleydoux
01036;1326;45.892246890244;5.6570448170732;Belmont-Luthézieu
01037;308;45.835735223881;5.4786748507463;Bénonces
01038;754;46.321481714286;5.2847496190476;Bény
01039;443;45.858390206186;5.7458564948454;Béon
01040;486;46.368759272727;5.0407462424242;Béréziat
01041;748;45.93878122449;5.365597755102;Bettant
01042;291;46.217906547619;4.8453710714286;Bey
01043;4754;45.84200389313;4.9964673282443;Beynost
01044;632;46.077800909091;5.772225974026;Billiat
01045;283;45.95549015873;5.039526984127;Birieux
01046;895;46.22892;4.9445275572519;Biziat
01047;1182;45.843565263158;5.2492607894737;Blyes
01049;3283;45.84861648;5.02185976;"La Boisse"
01050;365;46.3812;4.996962;Boissey
01051;91;46.196338089888;5.4674457303371;Bolozon
01052;328;46.021790328638;4.9993523474178;Bouligneux
01053;41111;46.20744972067;5.2461237430168;Bourg-en-Bresse
01054;1457;45.88773872093;5.1411945348837;Bourg-Saint-Christophe
01056;349;46.034943149171;5.4565408287293;Boyeux-Saint-Jérôme
01057;519;46.406688461538;4.9145222115385;Boz
01058;828;45.642557962963;5.6218911111111;Brégnier-Cordon
01060;493;46.079860253165;5.6245641139241;Brénod
01061;1144;45.716478;5.6952011428571;Brens
01062;934;45.871669416058;5.1005599270073;Bressolles
01063;533;46.164567419355;5.5459588709677;Brion
01064;1070;45.778150092593;5.4907816666667;Briord
01065;1812;46.211549901961;5.1450947058824;Buellas
01066;89;45.865082553191;5.5447043617021;"La Burbanche"
01067;255;46.122940705882;5.4945695294118;Ceignes
01068;775;46.074992025316;5.4736034177215;Cerdon
01069;1503;46.132655;5.2654237837838;Certines
01071;4808;46.317985422535;6.0760071126761;Cessy
01072;3194;46.18357864;5.31511216;Ceyzériat
01073;1000;45.832576010638;5.7116832446808;Ceyzérieu
01074;2589;46.002631512605;5.173992605042;Chalamont
01075;1382;46.034425041322;4.7996861983471;Chaleins
01076;125;45.956394255319;5.544979893617;Chaley
01077;196;46.123219901961;5.4601503921569;Challes-la-Montagne
01078;1557;46.175373944954;5.9679271559633;Challex
01079;811;45.931606372093;5.6934707441861;Champagne-en-Valromey
01080;643;46.032686575342;5.575461369863;Champdor-Corcelles
01081;735;46.220618641975;5.8242741358025;Champfromier
01082;628;46.001900603448;5.7795182758621;Chanay
01083;927;46.088803267327;4.8552178217822;Chaneins
01084;895;46.187230382166;5.0270835031847;Chanoz-Châtenay
01085;400;46.07192394636;5.0238535249042;"La Chapelle-du-Châtelard"
01087;282;46.188639444444;5.683287;Charix
01088;903;45.873123802817;5.2199981690141;Charnoz-sur-Ain
01089;2253;45.964916548673;5.3028414159292;Château-Gaillard
01090;356;46.027040620155;5.2063486821705;Châtenay
01092;1604;45.973948055556;5.2385538194444;Châtillon-la-Palud
01093;4931;46.121240208333;4.9594278125;Châtillon-sur-Chalaronne
01094;761;46.436287058824;5.0009959558823;Chavannes-sur-Reyssouze
01095;853;46.287250322581;5.4291164919355;"Nivigne et Suran"
01096;1034;46.203152298851;5.05054;Chaveyriat
01098;1159;45.802649;5.681342;Chazey-Bons
01099;1566;45.897791764706;5.257502254902;Chazey-sur-Ain
01100;131;45.821699632353;5.6004818382353;Cheignieu-la-Balme
01101;152;46.109148734177;5.579233164557;Chevillard
01102;961;46.382223136095;4.9651795857988;Chevroux
01103;2149;46.28400972973;6.0452245045045;Chevry
01104;461;46.223054;5.868303;Chézery-Forens
01105;1829;45.918154210526;4.8847947368421;Civrieux
01106;179;46.198540517241;5.4512146551724;Cize
01107;133;45.902384545455;5.4327284848485;Cleyzieu
01108;1176;46.384596901961;5.326589372549;Coligny
01109;2226;46.14152784;5.90460952;Collonges
01110;156;45.738500285714;5.6265590476191;Colomieu
01111;132;45.890008978102;5.4713902919708;Conand
01112;450;46.104543084112;5.5582528037383;Condamine
